"term","estimate","lower95","upper95","num_boots","park","resp"
"c1_response",0.0242414503516411,0.0120707947936598,0.0401939534475858,1000,"DEWA","Seed_Dens_FRAX"
"c2_response",0.0412108924862287,0.0239833852511555,0.0630843299661366,1000,"DEWA","Seed_Dens_FRAX"
"c3_response",0.0581803346208163,0.0310256406401843,0.0926841192922849,1000,"DEWA","Seed_Dens_FRAX"
"Intercept",0.0197650027304099,0.0033825322557933,0.0446668076111548,1000,"DEWA","Seed_Dens_FAGGRA"
"Slope",0.00277378020296055,-0.000383814270711443,0.00604577292671894,1000,"DEWA","Seed_Dens_FAGGRA"
"c1_response",0.0225387829333704,0.00560535149714426,0.0484438768844297,1000,"DEWA","Seed_Dens_FAGGRA"
"c2_response",0.025312563136331,0.00766864637960902,0.0538248505952866,1000,"DEWA","Seed_Dens_FAGGRA"
"c3_response",0.0280863433392915,0.00919675773649721,0.0583095612766516,1000,"DEWA","Seed_Dens_FAGGRA"
"Intercept",0.0166874914592466,-0.000818420934961276,0.0472523624296713,1000,"DEWA","Seed_Dens_TSUCAN"
"Slope",0.000597223996857325,-0.00368138152663357,0.00406436659117394,1000,"DEWA","Seed_Dens_TSUCAN"
"c1_response",0.0172847154561039,0.00171164910016575,0.0455099134403381,1000,"DEWA","Seed_Dens_TSUCAN"
